,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
249777_at,-0.193591473,4.365188914,-0.76262573,0.461021207,0.96904122,-4.729102255,FALSE
258026_at,-0.070551927,6.750828049,-0.762596838,0.461037779,0.96904122,-4.729111108,FALSE
257474_at,0.164146937,4.076694119,0.762427949,0.461134666,0.96904122,-4.729162857,FALSE
248842_at,-0.100971594,7.049723937,-0.762211039,0.461259118,0.96904122,-4.729229305,FALSE
248286_at,0.191805009,4.060390983,0.762133075,0.461303855,0.96904122,-4.729253184,FALSE
251494_at,-0.086825801,8.351314614,-0.762097206,0.461324439,0.96904122,-4.72926417,FALSE
259317_at,0.10691685,3.503984113,0.762090467,0.461328306,0.96904122,-4.729266234,FALSE
266301_at,-0.071379002,2.969032564,-0.762068129,0.461341125,0.96904122,-4.729273075,FALSE
266997_at,0.069004545,3.692904309,0.76190945,0.461432191,0.96904122,-4.729321667,FALSE
258960_at,0.094741125,2.817777725,0.761599413,0.461610155,0.96904122,-4.729416583,FALSE
250368_at,0.063852259,8.486074587,0.761591377,0.461614768,0.96904122,-4.729419043,FALSE
245484_at,-0.071294343,7.678857556,-0.761431199,0.46170673,0.96904122,-4.729468068,FALSE
267537_at,0.132322673,6.309614759,0.761309419,0.461776653,0.96904122,-4.729505335,FALSE
254027_at,-0.127393687,5.190070475,-0.761260845,0.461804546,0.96904122,-4.729520198,FALSE
253791_at,0.085024555,4.244470298,0.761055589,0.46192242,0.96904122,-4.729582994,FALSE
255361_at,0.062861113,2.185273346,0.76103519,0.461934135,0.96904122,-4.729589234,FALSE
259474_at,0.081881014,8.338532324,0.760963362,0.46197539,0.96904122,-4.729611206,FALSE
256600_at,0.13733584,3.619017725,0.76086289,0.4620331,0.96904122,-4.729641937,FALSE
253639_at,-0.097957495,8.648336341,-0.760844106,0.46204389,0.96904122,-4.729647682,FALSE
257090_at,0.094709724,2.852770581,0.760744674,0.462101007,0.96904122,-4.72967809,FALSE
251581_at,0.098773408,7.657911509,0.760737788,0.462104963,0.96904122,-4.729680195,FALSE
251155_at,0.11436842,3.366216175,0.760676669,0.462140075,0.96904122,-4.729698885,FALSE
265133_s_at,-0.093582255,2.416800041,-0.760558499,0.462207966,0.96904122,-4.729735017,FALSE
266953_at,-0.101180605,3.268781873,-0.760514018,0.462233524,0.96904122,-4.729748616,FALSE
264422_at,0.083465852,8.760502743,0.760405891,0.462295652,0.96904122,-4.729781671,FALSE
249447_at,0.064523958,2.760727517,0.760354249,0.462325328,0.96904122,-4.729797457,FALSE
255604_at,0.081675794,3.354237368,0.760284649,0.462365324,0.96904122,-4.729818731,FALSE
260447_at,0.087735809,2.377558845,0.760144051,0.462446126,0.96904122,-4.729861701,FALSE
254501_at,0.0902897,4.146764011,0.760016267,0.462519572,0.96904122,-4.729900749,FALSE
255168_at,-0.081190048,2.59928893,-0.760014447,0.462520618,0.96904122,-4.729901305,FALSE
261560_at,-0.069143959,6.972734162,-0.759843856,0.46261868,0.96904122,-4.729953425,FALSE
256723_at,0.068126177,7.433163955,0.759719434,0.46269021,0.96904122,-4.729991433,FALSE
265259_at,-0.082786698,7.165406531,-0.759713431,0.462693661,0.96904122,-4.729993267,FALSE
248977_at,0.144416228,4.481657222,0.759671052,0.462718027,0.96904122,-4.730006211,FALSE
245625_at,-0.062546956,8.832888652,-0.759453235,0.462843271,0.96904122,-4.730072733,FALSE
263332_at,-0.06512631,8.465268804,-0.75942123,0.462861676,0.96904122,-4.730082506,FALSE
252775_s_at,-0.070021598,1.978209074,-0.759251589,0.462959237,0.96904122,-4.730134301,FALSE
266349_at,0.106494893,3.730810322,0.759121359,0.463034141,0.96904122,-4.730174057,FALSE
261199_at,0.150473231,3.351250121,0.759072948,0.463061988,0.96904122,-4.730188835,FALSE
257104_at,0.094815174,7.252614093,0.759025967,0.463089013,0.96904122,-4.730203174,FALSE
254407_at,-0.088645919,2.739384124,-0.759021358,0.463091664,0.96904122,-4.730204581,FALSE
259084_at,-0.094255965,2.857572367,-0.759002127,0.463102727,0.96904122,-4.730210451,FALSE
256440_at,0.081033458,7.119431134,0.758945993,0.463135019,0.96904122,-4.730227583,FALSE
